Description,Location,Price (PHP),Bedrooms,Floor_area (sqm),Land_area (sqm),Link
3 Bedroom + Loft  2 Car  Tandang Sora Mindanao Commonwealth Townhouse For Sale,"Tandang Sora, Quezon City","7,400,000",3,117,60,https://www.lamudi.com.ph/3-bedroom-loft-2-car-tandang-sora-mindanao-commonwealth-townhouse-for-sale.html
"3-Bedroom House for Sale in Ameria, Panabo, Davao del Norte - Jasmine Model","New Pandan, Panabo","12,000,000",3,124,388,https://www.lamudi.com.ph/3-bedroom-house-for-sale-in-ameria-panabo-davao-del-norte-jasmine-model.html
Brand New Townhouse For Sale in Project 4 Cubao nr Araneta Center Quezon City,"Cubao, Quezon City","14,500,000",4,160,63,https://www.lamudi.com.ph/brand-new-townhouse-for-sale-in-project-4-cubao-nr-araneta-center-quezon-city.html
New Townhouse for sale in Don Antonio Heights Commonwealth Quezon City,"Commonwealth, Quezon City","12,500,000",3,170,42,https://www.lamudi.com.ph/new-townhouse-for-sale-in-don-antonio-heights-commonwealth-quezon-city.html
"ROSE (Bare 2-Storey Inner Unit) - Marytown Place, Sta. Maria Bulacan, 1.40M","Bulac, Santa Maria","1,400,000",1,46,40,https://www.lamudi.com.ph/rose-bare-2-storey-inner-unit-marytown-place-sta-maria-bulacan-1-40m.html
For Sale 5BR Single Detached Complete Turnover House in Hillsboro Homes Tanauan,"Santor, Tanauan","8,460,756",5,145,270,https://www.lamudi.com.ph/for-sale-5br-single-detached-complete-turnover-house-in-hillsboro-homes-tanauan.html
For Sale 4BR Modern House in Vista Verde Cainta,"San Isidro, Cainta","8,000,000",4,196,150,https://www.lamudi.com.ph/for-sale-4br-modern-house-in-vista-verde-cainta.html
"2-Bedroom Townhouse for Sale in The Villages at Lipa, Brook Village, Batangas - with ...","Bugtong Na Pulo, Lipa","2,800,000",2,53,50,https://www.lamudi.com.ph/2-bedroom-townhouse-for-sale-in-the-villages-at-lipa-brook-village-batangas-with-special-offer.html
"3BR Single Attached House and Lot for Sale in The Villages at Lipa, Brook Village, Ba...","Bugtong Na Pulo, Lipa","4,500,000",3,80,100,https://www.lamudi.com.ph/3br-single-attached-house-and-lot-for-sale-in-the-villages-at-lipa-brook-village-batangas-with-special-offer.html
Blissful Modern Brand New Townhouse and lot for sale in Sanville Quezon City,"Tandang Sora, Quezon City","12,950,000",4,200,75,https://www.lamudi.com.ph/blissful-modern-brand-new-townhouse-and-lot-for-sale-in-sanville-quezon-city-2.html
"The Villas at Dasmarinas Highlands, 3-Storey 4BR House and Lot for Sale","San Agustin I, Dasmarinas","8,473,000",4,155,66,https://www.lamudi.com.ph/the-villas-at-dasmarinas-highlands-3-storey-4br-house-and-lot-for-sale.html
Mahogany Place House & Lot For Sale near Mckinley & Fort BGC Taguig,"Bambang, Taguig","55,000,000",6,259,224,https://www.lamudi.com.ph/mahogany-place-house-lot-for-sale-near-mckinley-fort-bgc-taguig.html
Spacious 3 Bedroom House and Lot For Sale in San Miguel Village Makati City3,"San Miguel Village, Makati","95,000,000",3,300,477,https://www.lamudi.com.ph/spacious-3-bedroom-house-and-lot-for-sale-in-san-miguel-village-makati-city3.html
"3-Bedroom Townhouse for Sale at Lancaster New City in Imus, Cavite -ALICE Model","Alapan II-A, Imus","1,880,600",3,40,40,https://www.lamudi.com.ph/3-bedroom-townhouse-for-sale-at-lancaster-new-city-in-imus-cavite-alice-model.html
2CG New Townhouse For Sale in Don Antonio Heights Commonwealth Quezon City,"Commonwealth, Quezon City","8,500,000",3,126,42,https://www.lamudi.com.ph/2cg-new-townhouse-for-sale-in-don-antonio-heights-commonwealth-quezon-city.html
For Sale Alice End Unit RFO Avail 178K Discount 3 Bedrooms near MOA via Cavitex,"Alapan II-B, Imus","1,702,205",3,40,40,https://www.lamudi.com.ph/for-sale-alice-end-unit-rfo-avail-178k-discount-3-bedrooms-near-moa-via-cavitex.html
Modern 5 Bedroom Brand new house and lot for sale in BF homes Paranaque,"B.F. Homes, Paranaque","35,000,000",5,485,350,https://www.lamudi.com.ph/modern-5-bedroom-brand-new-house-and-lot-for-sale-in-bf-homes-paranaque-9.html
"House for sale in Merville Park Subdivision, Paranaque","Merville, Paranaque","42,000,000",4,370,283,https://www.lamudi.com.ph/house-for-sale-in-merville-park-subdivision-paranaque.html
House & Lot at Provident Village Marikina for sale,"Tanong, Marikina","5,000,000",7,200,320,https://www.lamudi.com.ph/house-lot-at-provident-village-marikina-for-sale.html
"House and Lot for Sale in Salas Real, 4 Bedrooms, Angelina Unit, Iloilo City","Jaro, Iloilo","4,230,000",4,79,116,https://www.lamudi.com.ph/house-and-lot-for-sale-in-salas-real-4-bedrooms-angelina-unit-iloilo-city.html
"3BR Single Detached House and Lot for Sale in The Villages at Lipa, Sierra Village, B...","Bugtong Na Pulo, Lipa","5,400,000",3,103,132,https://www.lamudi.com.ph/3br-single-detached-house-and-lot-for-sale-in-the-villages-at-lipa-sierra-village-batangas-with-special-offer.html
"3-Bedroom Beach House and Lot for Sale in Seafront Residences, San Juan, Batangas - w...","Calubcub II, San Juan","10,200,000",3,100,200,https://www.lamudi.com.ph/3-bedroom-beach-house-and-lot-for-sale-in-seafront-residences-san-juan-batangas-with-special-offer.html
"Charlize Single Attached House for Sale in West Beverly Hills, Dasmarinas Cavite","Langkaan I, Dasmarinas","4,378,246",3,119,104,https://www.lamudi.com.ph/charlize-single-attached-house-for-sale-in-west-beverly-hills-dasmarinas-cavite.html
"4BR Single Detached House and Lot for Sale in The Villages at Lipa, Sierra Village, B...","Bugtong Na Pulo, Lipa","6,100,000",4,119,150,https://www.lamudi.com.ph/4br-single-detached-house-and-lot-for-sale-in-the-villages-at-lipa-sierra-village-batangas-with-special-offer.html
"3BR House and Lot for Sale in Las Brisas at Tierra del Sol, Tanza, Cavite","Tanauan, Tanza","3,587,010",3,112,72,https://www.lamudi.com.ph/3br-house-and-lot-for-sale-in-las-brisas-at-tierra-del-sol-tanza-cavite-1.html
"Single Attached House (Neriza Model) for Sale in Salas Real Extension, Iloilo","Jaro, Iloilo","3,050,432",3,52,80,https://www.lamudi.com.ph/single-attached-house-neriza-model-for-sale-in-salas-real-extension-iloilo.html
"Banyan Modern Asian 3BR House and Lot for Sale in Southwind, San Pedro, Laguna","San Antonio, San Pedro","5,328,785",3,167,126,https://www.lamudi.com.ph/banyan-modern-asian-3br-house-and-lot-for-sale-in-southwind-san-pedro-laguna.html
"Elisa SA - Modern Minimalist 2BR House and Lot for Sale in Futura Homes Palm Estates,...","Efigenio Lizares, Talisay","1,565,173",2,84,157,https://www.lamudi.com.ph/elisa-sa-modern-minimalist-2br-house-and-lot-for-sale-in-futura-homes-palm-estates-talisay-city-negros-occidental.html
"Danessa Single Attached 2BR House and Lot for Sale in Meridian Place, General Trias, ...","Pasong Kawayan II, General Trias","1,643,240",2,70,129,https://www.lamudi.com.ph/danessa-single-attached-2br-house-and-lot-for-sale-in-meridian-place-general-trias-cavite.html
4-BR Fully Finished House and Lot For Sale along Marcos Highway Antipolo City,Antipolo,"12,900,000",4,150,210,https://www.lamudi.com.ph/4-br-fully-finished-house-and-lot-for-sale-along-marcos-highway-antipolo-city.html
2CG Affordable Townhouse For Sale in Don Antonio Commonwealth Quezon City,"Holy Spirit, Quezon City","8,500,000",3,126,42,https://www.lamudi.com.ph/2cg-affordable-townhouse-for-sale-in-don-antonio-commonwealth-quezon-city.html
"2-Bedroom Single Attached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - w...","Valle Cruz, Cabanatuan","3,600,000",2,75,88,https://www.lamudi.com.ph/2-bedroom-single-attached-house-and-lot-for-sale-in-ajoya-cabanatuan-nueva-ecija-with-special-offer.html
"3BR Single Attached House and Lot for Sale at PTC Suncrest in Imus, Cavite","Carsadang Bago I, Imus","5,234,791",3,75,80,https://www.lamudi.com.ph/3br-single-attached-house-and-lot-for-sale-at-ptc-suncrest-in-imus-cavite.html
Amber Duplex Modern Minimalist 2BR House and Lot for Sale in Futura Homes Palm Estate...,"Efigenio Lizares, Talisay","1,833,583",2,84,106,https://www.lamudi.com.ph/amber-duplex-modern-minimalist-2br-house-and-lot-for-sale-in-futura-homes-palm-estates-talisay-city-negros-occidental.html
"Caroline 1BR House and Lot for Sale in Meridian Place, General Trias, Cavite","Pasong Kawayan II, General Trias","1,400,000",1,72,160,https://www.lamudi.com.ph/caroline-1br-house-and-lot-for-sale-in-meridian-place-general-trias-cavite.html
"3-Bedroom Townhouse for Sale in The Villages at Lipa, Sierra Village, Batangas - with...","Bugtong Na Pulo, Lipa","4,700,000",3,93,108,https://www.lamudi.com.ph/3-bedroom-townhouse-for-sale-in-the-villages-at-lipa-sierra-village-batangas-with-special-offer.html
"4-Bedroom Townhouse for Sale at Lancaster New City in Imus, Cavite -ADELLE Model","Alapan II-A, Imus","2,671,400",4,70,60,https://www.lamudi.com.ph/4-bedroom-townhouse-for-sale-at-lancaster-new-city-in-imus-cavite-adelle-model.html
5BR Swimming Pool Quezon City House and Lot for sale in Filinvest 2 Commonwealth,"Commonwealth, Quezon City","29,500,000",5,320,216,https://www.lamudi.com.ph/5br-swimming-pool-quezon-city-house-and-lot-for-sale-in-filinvest-2-commonwealth.html
New Townhouse for sale in Tandang Sora near Commonwealth Quezon City,"Tandang Sora, Quezon City","7,400,000",3,117,60,https://www.lamudi.com.ph/new-townhouse-for-sale-in-tandang-sora-near-commonwealth-quezon-city.html
"4-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -ADELLE Model","San Sebastian, Kawit","2,671,400",4,70,60,https://www.lamudi.com.ph/4-bedroom-townhouse-for-sale-at-lancaster-new-city-in-kawit-cavite-adelle-model.html
"FUJI 3BR 2-Storey Single Detached for Sale in Idesia Heights, Dasmarinas Cavite","San Agustin I, Dasmarinas","5,870,000",3,82,120,https://www.lamudi.com.ph/fuji-3br-2-storey-single-detached-for-sale-in-idesia-heights-dasmarinas-cavite.html
House and Lot 4 bedrooms For Sale at Batac St. NSHA Bf Homes Paranaque,"B.F. Homes, Paranaque","22,000,000",4,375,408,https://www.lamudi.com.ph/house-and-lot-4-bedrooms-for-sale-at-batac-st-nsha-bf-homes-paranaque.html
"3 Bedrooms Townhouse at Bloomfield Heights in Antipolo, Rizal (Inner Unit)","San Luis, Antipolo","2,950,000",3,79,48,https://www.lamudi.com.ph/3-bedrooms-townhouse-at-bloomfield-heights-in-antipolo-rizal-inner-unit.html
"House and Lot for Sale in Amaris Homes Dasma, Cavite, Elyana Inner Unit","Burol, Dasmarinas","1,893,438",2,46,50,https://www.lamudi.com.ph/house-and-lot-for-sale-in-amaris-homes-dasma-cavite-elyana-inner-unit.html
"House and Lot for Sale in Sabella, General Trias, Cavite, Aliyah Inner Unit","Panungyanan, General Trias","2,044,125",3,54,50,https://www.lamudi.com.ph/house-and-lot-for-sale-in-sabella-general-trias-cavite-aliyah-inner-unit.html
"House For Sale: Bacoor, Nearest Manila and Mall Of Asia, MOA,EVY","Maliksi II, Bacoor","7,500,000",4,165,117,https://www.lamudi.com.ph/house-for-sale-bacoor-nearest-manila-and-mall-of-asia-moa-evy.html
Elegantly Finished Duplex House And Lot In Pilar Village Las Pinas-JI,"Pilar, Las Pinas","7,500,000",3,145,94,https://www.lamudi.com.ph/elegantly-finished-duplex-house-and-lot-in-pilar-village-las-pinas-ji-5.html
North Orchard Residences - Single Attached-Complete House and Lot for Sale in Sta. Ma...,"Caysio, Santa Maria","4,297,800",3,112,80,https://www.lamudi.com.ph/north-orchard-residences-single-attached-complete-house-and-lot-for-sale-in-sta-maria-bulacan.html
Amber 2BR Townhouse Inner Unit - Modern Minimalist for Sale in Futura Homes Koronadal...,"Concepcion, Koronadal","1,741,323",2,88,99,https://www.lamudi.com.ph/amber-2br-townhouse-inner-unit-modern-minimalist-for-sale-in-futura-homes-koronadal-south-cotabato.html
Huge Home Newly Renovated House and Lot for Sale in BF Homes Paranaque,"B.F. Homes, Paranaque","25,000,000",4,350,272,https://www.lamudi.com.ph/huge-home-newly-renovated-house-and-lot-for-sale-in-bf-homes-paranaque-2.html
"4 Bedroom Solar-Powered Smart House For Sale in Angeles City, Pampanga","Pampang, Angeles","16,500,000",4,225,156,https://www.lamudi.com.ph/4-bedroom-solar-powered-smart-house-for-sale-in-angeles-city-pampanga.html
Don Antonio Heights Commonwealth 3 Storey Townhouse in Quezon City For Sale,"Commonwealth, Quezon City","8,500,000",3,127,42,https://www.lamudi.com.ph/don-antonio-heights-commonwealth-3-storey-townhouse-in-quezon-city-for-sale-1.html
"ARIA RFO Townhouse for Sale in Idesia Dasmarinas Ph1, Special Discount 269K -Blk10 Lo...","San Agustin I, Dasmarinas","2,239,999",2,42,60,https://www.lamudi.com.ph/aria-rfo-townhouse-for-sale-in-idesia-dasmarinas-ph1-special-discount-269k-blk10-lot9.html
"ARIA RFO Townhouse for Sale in Idesia Dasmarinas Ph1, Special Discount 269K -Blk10 Lo...","San Agustin I, Dasmarinas","2,239,999",2,42,60,https://www.lamudi.com.ph/aria-rfo-townhouse-for-sale-in-idesia-dasmarinas-ph1-special-discount-269k-blk10-lot13.html
"4-Bedroom House (Aurora Model) for Sale in Ameria, Panabo, Davao del Norte","New Pandan, Panabo","11,637,679",4,206,294,https://www.lamudi.com.ph/4-bedroom-house-aurora-model-for-sale-in-ameria-panabo-davao-del-norte.html
"ROSE (Bare 2-Storey Inner Unit) - Marytown Place, Sta. Maria Bulacan, 1.16M","Bulac, Santa Maria","1,160,000",1,46,36,https://www.lamudi.com.ph/rose-bare-2-storey-inner-unit-marytown-place-sta-maria-bulacan-1-16m.html
"ROSE (Bare 2-Storey Corner Unit) - Marytown Place, Sta. Maria Bulacan, 1.76M","Bulac, Santa Maria","1,760,000",1,46,77,https://www.lamudi.com.ph/rose-bare-2-storey-corner-unit-marytown-place-sta-maria-bulacan-1-76m.html
"House and lot for sale at Villa Kananga, Butuan","Villa Kananga, Butuan","7,500,000",3,140,400,https://www.lamudi.com.ph/house-and-lot-for-sale-at-villa-kananga-butuan-1.html
For Sale Brand New 3Car Garage Townhouse with Elevator in New Manila Quezon City,"New Manila, Quezon City","45,500,000",4,415,120,https://www.lamudi.com.ph/for-sale-brand-new-3car-garage-townhouse-with-elevator-in-new-manila-quezon-city.html
"Beautiful Callista House for Sale in Sabella Village, General Trias, Cavite","Panungyanan, General Trias","3,955,875",4,81,100,https://www.lamudi.com.ph/beautiful-callista-house-for-sale-in-sabella-village-general-trias-cavite.html
"Beautiful Beach Resort in Siaton, Negros Oriental For Sale","Bonawon, Siaton","30,000,000",no info,no info,3877,https://www.lamudi.com.ph/beautiful-beach-resort-in-siaton-negros-oriental-for-sale.html
"Natalie Single Detached House for Sale in West Beverly Hills, Dasmarinas, Cavite","Langkaan I, Dasmarinas","5,493,461",3,123,140,https://www.lamudi.com.ph/natalie-single-detached-house-for-sale-in-west-beverly-hills-dasmarinas-cavite.html
2CG Townhouse for sale in Don Antonio Heights Commonwealth Quezon City,"Holy Spirit, Quezon City","8,500,000",3,126,42,https://www.lamudi.com.ph/2cg-townhouse-for-sale-in-don-antonio-heights-commonwealth-quezon-city-4.html
"Plan 6 House and Lot at Prominence II, Binan, Laguna","Mampalasan, Binan","23,000,000",3,140,no info,https://www.lamudi.com.ph/plan-6-house-and-lot-at-prominence-ii-binan-laguna.html
5BR Commercial Residential Townhouse For Sale in Project 4 Cubao Quezon City,"Project 4, Quezon City","15,000,000",4,161,63,https://www.lamudi.com.ph/5br-commercial-residential-townhouse-for-sale-in-project-4-cubao-quezon-city.html
5BR Commercial Residential Townhouse For Sale in Cubao Quezon City nr Katipunan,"Cubao, Quezon City","14,500,000",5,160,63,https://www.lamudi.com.ph/5br-commercial-residential-townhouse-for-sale-in-cubao-quezon-city-nr-katipunan-1.html
"Modern Tropical House and lot for sale in Filinvest II, Quezon City","Batasan Hills, Quezon City","43,800,000",5,600,480,https://www.lamudi.com.ph/modern-tropical-house-and-lot-for-sale-in-filinvest-ii-quezon-city-43.html
Tagaytay Rest House For Sale,"Asisan, Tagaytay","13,800,000",4,250,779,https://www.lamudi.com.ph/tagaytay-rest-house-for-sale.html
"House and Lot in Filinvest East for Sale along Marcos Highway Php 13M, Cainta","San Isidro, Cainta","13,000,000",4,150,169,https://www.lamudi.com.ph/house-and-lot-in-filinvest-east-for-sale-along-marcos-highway-php-13m-cainta.html
"L-R-1-1006 - Acquired Property for Sale in Block 88A, Lot 14, Eastborough Place Subdi...","Escribano, San Juan","12,663,600",no info,380,10001,https://www.lamudi.com.ph/l-r-1-1006-acquired-property-for-sale-in-block-88a-lot-14-eastborough-place-subdivision-brgy-muzon-angono-rizal-sub.html
2-Storey House with Rustic Modern Design for sale in Paranaque City,"Marcelo Green Village, Paranaque","15,000,000",4,250,240,https://www.lamudi.com.ph/2-storey-house-with-rustic-modern-design-for-sale-in-paranaque-city.html
"House and Lot for Sale in Amaris Homes Dasma, Cavite, Elyana End Unit","Burol, Dasmarinas","2,036,094",2,46,75,https://www.lamudi.com.ph/house-and-lot-for-sale-in-amaris-homes-dasma-cavite-elyana-end-unit.html
"For Sale RFO 4 Bedroom House & Lot in Pacific Residences, Taguig City","Ususan, Taguig","9,200,000",4,120,88,https://www.lamudi.com.ph/for-sale-rfo-4-bedroom-house-lot-in-pacific-residences-taguig-city.html
"For Sale 4BR with Carport & Balcony in Camella Baliuag, Tangos, Baliuag, Bulacan","Tangos, Baliuag","8,190,000",4,97,172,https://www.lamudi.com.ph/for-sale-4br-with-carport-balcony-in-camella-baliuag-tangos-baliuag-bulacan.html
Well maintained country-style house with a refreshing view,"San Luis, Antipolo","12,000,000",2,277,298,https://www.lamudi.com.ph/well-maintained-country-style-house-with-a-refreshing-view.html
"Bungalow Single Detached House for Sale in Liloan, Cebu - Garden Bloom Villas","Cotcot, Liloan","2,200,000",1,54,103,https://www.lamudi.com.ph/bungalow-single-detached-house-for-sale-in-liloan-cebu-garden-bloom-villas.html
"3 Bedroom House for Sale in Sapalibutad, Angeles City near Clark Pampanga","Sapalibutad, Angeles","3,228,000",3,89,132,https://www.lamudi.com.ph/3-bedroom-house-for-sale-in-sapalibutad-angeles-city-near-clark-pampanga.html
